Title:               35-Year High Quality Market (HQM) Corporate Bond Spot Rate
1989-02-01   9.92
1989-03-01   9.93
1989-04-01   9.74
1989-05-01   9.63
1989-06-01   9.25
1989-07-01   9.23
1989-08-01   9.22
1989-09-01   9.21
1989-10-01   9.11
1989-11-01   9.00
1989-12-01   8.95
1990-01-01   9.06
1990-02-01   9.30
1990-03-01   9.49
1990-04-01   9.62
1990-05-01   9.84
1990-06-01   9.66
1990-07-01   9.70
1990-08-01  10.35
1990-09-01  10.56
1990-10-01  10.63
1990-11-01  10.34
1990-12-01  10.02
1991-01-01   9.97
1991-02-01   9.62
1991-03-01   9.89
1991-04-01   9.70
1991-05-01   9.84
1991-06-01  10.07
1991-07-01  10.02
1991-08-01   9.73
1991-09-01   9.60
1991-10-01   9.81
1991-11-01   9.88
1991-12-01   9.86
1992-01-01   9.80
1992-02-01   9.79
1992-03-01   9.75
1992-04-01   9.69
1992-05-01   9.55
1992-06-01   9.51
1992-07-01   9.54
1992-08-01   9.47
1992-09-01   9.54
1992-10-01   9.88
1992-11-01   9.70
1992-12-01   9.29
1993-01-01   9.24
1993-02-01   8.97
1993-03-01   8.69
1993-04-01   8.84
1993-05-01   8.97
1993-06-01   8.80
1993-07-01   8.51
1993-08-01   8.03
1993-09-01   7.91
1993-10-01   7.92
1993-11-01   8.15
1993-12-01   8.08
1994-01-01   8.09
1994-02-01   8.17
1994-03-01   8.43
1994-04-01   8.71
1994-05-01   8.69
1994-06-01   8.78
1994-07-01   8.89
1994-08-01   8.82
1994-09-01   9.12
1994-10-01   9.22
1994-11-01   9.23
1994-12-01   8.82
1995-01-01   8.85
1995-02-01   8.79
1995-03-01   8.84
1995-04-01   8.84
1995-05-01   8.41
1995-06-01   8.09
1995-07-01   8.29
1995-08-01   8.40
1995-09-01   8.17
1995-10-01   7.89
1995-11-01   7.74
1995-12-01   7.53
1996-01-01   7.52
1996-02-01   7.87
1996-03-01   8.19
1996-04-01   8.31
1996-05-01   8.29
1996-06-01   8.37
1996-07-01   8.31
1996-08-01   8.11
1996-09-01   8.32
1996-10-01   8.10
1996-11-01   7.80
1996-12-01   7.86
1997-01-01   8.06
1997-02-01   7.95
1997-03-01   8.19
1997-04-01   8.38
1997-05-01   8.28
1997-06-01   8.14
1997-07-01   7.83
1997-08-01   7.86
1997-09-01   7.79
1997-10-01   7.66
1997-11-01   7.46
1997-12-01   7.28
1998-01-01   7.22
1998-02-01   7.29
1998-03-01   7.28
1998-04-01   7.23
1998-05-01   7.19
1998-06-01   6.96
1998-07-01   7.03
1998-08-01   7.06
1998-09-01   7.29
1998-10-01   7.45
1998-11-01   7.43
1998-12-01   7.18
1999-01-01   7.18
1999-02-01   7.21
1999-03-01   7.37
1999-04-01   7.37
1999-05-01   7.58
1999-06-01   7.80
1999-07-01   7.79
1999-08-01   8.00
1999-09-01   8.13
1999-10-01   8.26
1999-11-01   7.96
1999-12-01   8.07
2000-01-01   8.11
2000-02-01   7.97
2000-03-01   8.11
2000-04-01   8.16
2000-05-01   8.53
2000-06-01   8.14
2000-07-01   8.01
2000-08-01   8.02
2000-09-01   8.24
2000-10-01   8.36
2000-11-01   8.33
2000-12-01   8.26
2001-01-01   7.99
2001-02-01   7.91
2001-03-01   7.92
2001-04-01   8.18
2001-05-01   8.04
2001-06-01   7.86
2001-07-01   7.81
2001-08-01   7.75
2001-09-01   8.20
2001-10-01   7.87
2001-11-01   7.46
2001-12-01   7.41
2002-01-01   7.22
2002-02-01   7.15
2002-03-01   7.43
2002-04-01   7.49
2002-05-01   7.53
2002-06-01   7.49
2002-07-01   7.72
2002-08-01   7.66
2002-09-01   7.24
2002-10-01   7.64
2002-11-01   7.40
2002-12-01   7.19
2003-01-01   7.23
2003-02-01   7.00
2003-03-01   7.04
2003-04-01   6.98
2003-05-01   6.47
2003-06-01   6.38
2003-07-01   6.97
2003-08-01   7.40
2003-09-01   7.12
2003-10-01   7.08
2003-11-01   6.94
2003-12-01   6.91
2004-01-01   6.81
2004-02-01   6.81
2004-03-01   6.66
2004-04-01   6.97
2004-05-01   7.18
2004-06-01   7.07
2004-07-01   6.93
2004-08-01   6.83
2004-09-01   6.65
2004-10-01   6.59
2004-11-01   6.47
2004-12-01   6.35
2005-01-01   6.15
2005-02-01   5.90
2005-03-01   6.11
2005-04-01   6.11
2005-05-01   6.05
2005-06-01   5.82
2005-07-01   5.91
2005-08-01   5.92
2005-09-01   6.03
2005-10-01   6.25
2005-11-01   6.32
2005-12-01   6.22
2006-01-01   6.13
2006-02-01   6.08
2006-03-01   6.30
2006-04-01   6.66
2006-05-01   6.78
2006-06-01   6.77
2006-07-01   6.73
2006-08-01   6.58
2006-09-01   6.40
2006-10-01   6.35
2006-11-01   6.06
2006-12-01   6.08
2007-01-01   6.21
2007-02-01   6.12
2007-03-01   6.18
2007-04-01   6.32
2007-05-01   6.31
2007-06-01   6.60
2007-07-01   6.60
2007-08-01   6.65
2007-09-01   6.54
2007-10-01   6.37
2007-11-01   6.46
2007-12-01   6.68
2008-01-01   6.70
2008-02-01   7.04
2008-03-01   6.98
2008-04-01   6.95
2008-05-01   6.77
2008-06-01   6.95
2008-07-01   7.04
2008-08-01   6.91
2008-09-01   6.90
2008-10-01   7.31
2008-11-01   7.45
2008-12-01   6.38
2009-01-01   6.33
2009-02-01   7.09
2009-03-01   7.84
2009-04-01   6.93
2009-05-01   6.78
2009-06-01   6.56
2009-07-01   6.47
2009-08-01   6.21
2009-09-01   6.07
2009-10-01   6.06
2009-11-01   6.28
2009-12-01   6.44
2010-01-01   6.46
2010-02-01   6.62
2010-03-01   6.56
2010-04-01   6.45
2010-05-01   6.24
2010-06-01   6.27
2010-07-01   6.09
2010-08-01   5.86
2010-09-01   6.00
2010-10-01   6.19
2010-11-01   6.48
2010-12-01   6.50
2011-01-01   6.39
2011-02-01   6.52
2011-03-01   6.44
2011-04-01   6.42
2011-05-01   6.18
2011-06-01   6.30
2011-07-01   6.26
2011-08-01   5.99
2011-09-01   5.77
2011-10-01   5.48
2011-11-01   5.25
2011-12-01   5.23
2012-01-01   5.17
2012-02-01   5.06
2012-03-01   5.17
2012-04-01   5.13
2012-05-01   5.03
2012-06-01   4.91
2012-07-01   4.48
2012-08-01   4.50
2012-09-01   4.65
2012-10-01   4.56
2012-11-01   4.58
2012-12-01   4.75
2013-01-01   4.87
2013-02-01   5.00
2013-03-01   5.09
2013-04-01   4.86
2013-05-01   4.99
2013-06-01   5.41
2013-07-01   5.42
2013-08-01   5.56
2013-09-01   5.60
2013-10-01   5.50
2013-11-01   5.64
2013-12-01   5.58
2014-01-01   5.38
2014-02-01   5.34
2014-03-01   5.29
2014-04-01   5.13
2014-05-01   4.99
2014-06-01   5.07
2014-07-01   4.99
2014-08-01   4.94
2014-09-01   5.02
2014-10-01   4.85
2014-11-01   4.94
2014-12-01   4.77
2015-01-01   4.38
2015-02-01   4.45
2015-03-01   4.48
2015-04-01   4.45
2015-05-01   4.96
2015-06-01   5.18
2015-07-01   5.11
2015-08-01   4.96
2015-09-01   5.05
2015-10-01   5.01
2015-11-01   5.11
2015-12-01   4.99
2016-01-01   5.00
2016-02-01   5.01
2016-03-01   4.82
2016-04-01   4.60
2016-05-01   4.60
2016-06-01   4.46
2016-07-01   4.14
2016-08-01   4.16
2016-09-01   4.28
2016-10-01   4.37
2016-11-01   4.69
