Title:               30-Year High Quality Market (HQM) Corporate Bond Par Yield
1994-02-01   7.37
1994-03-01   7.75
1994-04-01   8.16
1994-05-01   8.26
1994-06-01   8.26
1994-07-01   8.40
1994-08-01   8.33
1994-09-01   8.57
1994-10-01   8.77
1994-11-01   8.88
1994-12-01   8.66
1995-01-01   8.65
1995-02-01   8.45
1995-03-01   8.33
1995-04-01   8.24
1995-05-01   7.83
1995-06-01   7.47
1995-07-01   7.61
1995-08-01   7.77
1995-09-01   7.51
1995-10-01   7.31
1995-11-01   7.19
1995-12-01   6.99
1996-01-01   6.96
1996-02-01   7.19
1996-03-01   7.55
1996-04-01   7.72
1996-05-01   7.82
1996-06-01   7.94
1996-07-01   7.89
1996-08-01   7.68
1996-09-01   7.87
1996-10-01   7.61
1996-11-01   7.31
1996-12-01   7.40
1997-01-01   7.62
1997-02-01   7.49
1997-03-01   7.73
1997-04-01   7.91
1997-05-01   7.79
1997-06-01   7.60
1997-07-01   7.32
1997-08-01   7.38
1997-09-01   7.30
1997-10-01   7.17
1997-11-01   7.04
1997-12-01   6.92
1998-01-01   6.78
1998-02-01   6.86
1998-03-01   6.88
1998-04-01   6.85
1998-05-01   6.84
1998-06-01   6.65
1998-07-01   6.69
1998-08-01   6.70
1998-09-01   6.68
1998-10-01   6.72
1998-11-01   6.80
1998-12-01   6.59
1999-01-01   6.59
1999-02-01   6.72
1999-03-01   6.90
1999-04-01   6.87
1999-05-01   7.16
1999-06-01   7.48
1999-07-01   7.44
1999-08-01   7.65
1999-09-01   7.68
1999-10-01   7.82
1999-11-01   7.60
1999-12-01   7.77
2000-01-01   7.98
2000-02-01   7.90
2000-03-01   7.92
2000-04-01   7.91
2000-05-01   8.36
2000-06-01   8.01
2000-07-01   7.90
2000-08-01   7.82
2000-09-01   7.93
2000-10-01   7.98
2000-11-01   7.95
2000-12-01   7.71
2001-01-01   7.48
2001-02-01   7.40
2001-03-01   7.30
2001-04-01   7.51
2001-05-01   7.49
2001-06-01   7.34
2001-07-01   7.29
2001-08-01   7.14
2001-09-01   7.36
2001-10-01   7.09
2001-11-01   6.84
2001-12-01   6.97
2002-01-01   6.84
2002-02-01   6.77
2002-03-01   7.04
2002-04-01   7.04
2002-05-01   7.04
2002-06-01   6.89
2002-07-01   6.96
2002-08-01   6.83
2002-09-01   6.48
2002-10-01   6.71
2002-11-01   6.54
2002-12-01   6.38
2003-01-01   6.33
2003-02-01   6.16
2003-03-01   6.13
2003-04-01   6.11
2003-05-01   5.68
2003-06-01   5.53
2003-07-01   6.04
2003-08-01   6.46
2003-09-01   6.24
2003-10-01   6.21
2003-11-01   6.15
2003-12-01   6.11
2004-01-01   6.00
2004-02-01   5.98
2004-03-01   5.80
2004-04-01   6.17
2004-05-01   6.46
2004-06-01   6.44
2004-07-01   6.26
2004-08-01   6.12
2004-09-01   5.95
2004-10-01   5.91
2004-11-01   5.88
2004-12-01   5.82
2005-01-01   5.71
2005-02-01   5.53
2005-03-01   5.77
2005-04-01   5.73
2005-05-01   5.63
2005-06-01   5.44
2005-07-01   5.54
2005-08-01   5.57
2005-09-01   5.62
2005-10-01   5.85
2005-11-01   5.93
2005-12-01   5.86
2006-01-01   5.79
2006-02-01   5.83
2006-03-01   6.01
2006-04-01   6.32
2006-05-01   6.44
2006-06-01   6.45
2006-07-01   6.42
2006-08-01   6.25
2006-09-01   6.08
2006-10-01   6.06
2006-11-01   5.84
2006-12-01   5.83
2007-01-01   5.98
2007-02-01   5.93
2007-03-01   5.92
2007-04-01   6.05
2007-05-01   6.06
2007-06-01   6.37
2007-07-01   6.37
2007-08-01   6.38
2007-09-01   6.30
2007-10-01   6.16
2007-11-01   6.20
2007-12-01   6.35
2008-01-01   6.29
2008-02-01   6.50
2008-03-01   6.58
2008-04-01   6.54
2008-05-01   6.51
2008-06-01   6.74
2008-07-01   6.90
2008-08-01   6.84
2008-09-01   7.11
2008-10-01   8.05
2008-11-01   7.91
2008-12-01   6.80
2009-01-01   6.56
2009-02-01   7.01
2009-03-01   7.56
2009-04-01   6.99
2009-05-01   6.82
2009-06-01   6.50
2009-07-01   6.30
2009-08-01   6.01
2009-09-01   5.79
2009-10-01   5.76
2009-11-01   5.84
2009-12-01   5.95
2010-01-01   5.95
2010-02-01   6.07
2010-03-01   5.99
2010-04-01   5.93
2010-05-01   5.75
2010-06-01   5.73
2010-07-01   5.53
2010-08-01   5.30
2010-09-01   5.34
2010-10-01   5.41
2010-11-01   5.60
2010-12-01   5.76
2011-01-01   5.73
2011-02-01   5.83
2011-03-01   5.74
2011-04-01   5.73
2011-05-01   5.52
2011-06-01   5.56
2011-07-01   5.54
2011-08-01   5.27
2011-09-01   5.12
2011-10-01   5.02
2011-11-01   4.88
2011-12-01   4.86
2012-01-01   4.79
2012-02-01   4.71
2012-03-01   4.79
2012-04-01   4.75
2012-05-01   4.62
2012-06-01   4.51
2012-07-01   4.17
2012-08-01   4.20
2012-09-01   4.28
2012-10-01   4.17
2012-11-01   4.16
2012-12-01   4.27
2013-01-01   4.39
2013-02-01   4.49
2013-03-01   4.53
2013-04-01   4.34
2013-05-01   4.46
2013-06-01   4.86
2013-07-01   4.95
2013-08-01   5.08
2013-09-01   5.12
2013-10-01   4.99
2013-11-01   5.08
2013-12-01   5.07
2014-01-01   4.91
2014-02-01   4.84
2014-03-01   4.78
2014-04-01   4.66
2014-05-01   4.53
2014-06-01   4.58
2014-07-01   4.52
2014-08-01   4.45
2014-09-01   4.55
2014-10-01   4.39
2014-11-01   4.46
2014-12-01   4.34
2015-01-01   4.02
2015-02-01   4.08
2015-03-01   4.11
2015-04-01   4.08
2015-05-01   4.49
2015-06-01   4.70
2015-07-01   4.67
2015-08-01   4.56
2015-09-01   4.63
2015-10-01   4.58
2015-11-01   4.68
2015-12-01   4.61
2016-01-01   4.60
2016-02-01   4.57
2016-03-01   4.43
2016-04-01   4.22
2016-05-01   4.20
2016-06-01   4.07
2016-07-01   3.82
2016-08-01   3.84
2016-09-01   3.93
2016-10-01   4.02
2016-11-01   4.32
