Title:               30-1/2-Year 3-3/8% Treasury Inflation-Indexed Bond, Due 4/15/2032©
2003-06-27   2.28
2003-07-04   2.43
2003-07-11   2.51
2003-07-18   2.56
2003-07-25   2.66
2003-08-01   2.81
2003-08-08   2.79
2003-08-15   2.79
2003-08-22   2.70
2003-08-29   2.73
2003-09-05   2.76
2003-09-12   2.68
2003-09-19   2.61
2003-09-26   2.51
2003-10-03   2.48
2003-10-10   2.58
2003-10-17   2.60
2003-10-24   2.47
2003-10-31   2.39
2003-11-07   2.38
2003-11-14   2.33
2003-11-21   2.28
2003-11-28   2.35
2003-12-05   2.30
2003-12-12   2.26
2003-12-19   2.24
2003-12-26   2.26
2004-01-02   2.27
2004-01-09   2.23
2004-01-16   2.14
2004-01-23   2.16
2004-01-30   2.19
2004-02-06   2.13
2004-02-13   2.10
2004-02-20   2.11
2004-02-27   2.06
2004-03-05   1.95
2004-03-12   1.85
2004-03-19   1.84
2004-03-26   1.85
2004-04-02   1.95
2004-04-09   2.10
2004-04-16   2.19
2004-04-23   2.27
2004-04-30   2.39
2004-05-07   2.45
2004-05-14   2.46
2004-05-21   2.31
2004-05-28   2.29
2004-06-04   2.31
2004-06-11   2.41
2004-06-18   2.37
2004-06-25   2.34
2004-07-02   2.31
2004-07-09   2.22
2004-07-16   2.29
2004-07-23   2.31
2004-07-30   2.38
2004-08-06   2.31
2004-08-13   2.18
2004-08-20   2.15
2004-08-27   2.17
2004-09-03   2.15
2004-09-10   2.16
2004-09-17   2.15
2004-09-24   2.12
2004-10-01   2.09
2004-10-08   2.17
2004-10-15   2.08
2004-10-22   2.04
2004-10-29   2.07
2004-11-05   2.06
2004-11-12   2.13
2004-11-19   2.03
2004-11-26   1.97
2004-12-03   2.07
2004-12-10   1.96
2004-12-17   1.90
2004-12-24   1.84
2004-12-31   1.89
2005-01-07   1.91
2005-01-14   1.90
2005-01-21   1.84
2005-01-28   1.86
2005-02-04   1.83
2005-02-11   1.70
2005-02-18   1.71
2005-02-25   1.80
2005-03-04   1.84
2005-03-11   1.82
2005-03-18   1.86
2005-03-25   1.93
2005-04-01   1.88
2005-04-08   1.86
2005-04-15   1.82
2005-04-22   1.73
2005-04-29   1.75
2005-05-06   1.76
2005-05-13   1.74
2005-05-20   1.71
2005-05-27   1.70
2005-06-03   1.62
2005-06-10   1.64
2005-06-17   1.77
2005-06-24   1.71
2005-07-01   1.70
2005-07-08   1.78
2005-07-15   1.84
2005-07-22   1.93
2005-07-29   1.94
2005-08-05   1.97
2005-08-12   1.97
2005-08-19   1.90
2005-08-26   1.85
2005-09-02   1.75
2005-09-09   1.81
2005-09-16   1.83
2005-09-23   1.82
2005-09-30   1.84
2005-10-07   1.92
2005-10-14   1.99
2005-10-21   1.97
2005-10-28   2.05
2005-11-04   2.05
2005-11-11   2.04
2005-11-18   2.04
2005-11-25   2.03
2005-12-02   2.07
2005-12-09   2.10
2005-12-16   2.06
2005-12-23   1.97
2005-12-30   1.90
2006-01-06   1.92
2006-01-13   1.94
2006-01-20   1.88
2006-01-27   1.94
2006-02-03   1.89
2006-02-10   1.85
2006-02-17   1.89
2006-02-24   1.86
2006-03-03   1.87
2006-03-10   2.01
2006-03-17   2.03
2006-03-24   2.06
2006-03-31   2.15
2006-04-07   2.23
2006-04-14   2.30
2006-04-21   2.31
2006-04-28   2.37
2006-05-05   2.40
2006-05-12   2.37
2006-05-19   2.36
2006-05-26   2.34
2006-06-02   2.35
2006-06-09   2.35
2006-06-16   2.36
2006-06-23   2.46
2006-06-30   2.49
2006-07-07   2.47
2006-07-14   2.41
2006-07-21   2.37
2006-07-28   2.32
2006-08-04   2.26
2006-08-11   2.20
2006-08-18   2.21
2006-08-25   2.13
2006-09-01   2.13
2006-09-08   2.19
2006-09-15   2.22
2006-09-22   2.19
2006-09-29   2.12
2006-10-06   2.15
2006-10-13   2.28
2006-10-20   2.31
2006-10-27   2.29
2006-11-03   2.17
2006-11-10   2.10
2006-11-17   2.10
2006-11-24   2.10
2006-12-01   2.02
2006-12-08   2.03
2006-12-15   2.11
2006-12-22   2.21
2006-12-29   2.27
2007-01-05   2.24
2007-01-12   2.30
2007-01-19   2.34
2007-01-26   2.32
2007-02-02   2.32
2007-02-09   2.30
2007-02-16   2.30
2007-02-23   2.26
2007-03-02   2.12
2007-03-09   2.13
2007-03-16   2.17
2007-03-23   2.17
2007-03-30   2.19
2007-04-06   2.24
2007-04-13   2.29
2007-04-20   2.26
2007-04-27   2.25
2007-05-04   2.24
2007-05-11   2.29
2007-05-18   2.38
2007-05-25   2.43
2007-06-01   2.45
2007-06-08   2.51
2007-06-15   2.64
2007-06-22   2.62
2007-06-29   2.58
2007-07-06   2.60
2007-07-13   2.59
2007-07-20   2.55
2007-07-27   2.45
2007-08-03   2.36
2007-08-10   2.43
2007-08-17   2.43
2007-08-24   2.36
2007-08-31   2.33
2007-09-07   2.27
2007-09-14   2.14
2007-09-21   2.19
2007-09-28   2.25
2007-10-05   2.19
2007-10-12   2.28
2007-10-19   2.22
2007-10-26   2.07
2007-11-02   2.04
2007-11-09   1.98
2007-11-16   1.95
2007-11-23   1.85
2007-11-30   1.78
2007-12-07   1.91
2007-12-14   2.03
2007-12-21   1.97
2007-12-28   2.03
2008-01-04   1.82
2008-01-11   1.80
2008-01-18   1.71
2008-01-25   1.65
2008-02-01   1.65
2008-02-08   1.72
2008-02-15   1.82
2008-02-22   1.92
2008-02-29   1.87
2008-03-07   1.69
2008-03-14   1.59
2008-03-21   1.76
2008-03-28   1.86
2008-04-04   1.82
2008-04-11   1.76
2008-04-18   1.84
2008-04-25   1.96
2008-05-02   2.00
2008-05-09   1.98
2008-05-16   1.95
2008-05-23   1.87
2008-05-30   2.05
2008-06-06   2.12
2008-06-13   2.19
2008-06-20   2.19
2008-06-27   2.11
2008-07-04   1.98
2008-07-11   1.93
2008-07-18   2.01
2008-07-25   2.17
2008-08-01   2.13
2008-08-08   2.12
2008-08-15   2.13
2008-08-22   2.06
2008-08-29   2.04
2008-09-05   2.14
2008-09-12   2.06
2008-09-19   2.18
2008-09-26   2.36
2008-10-03   2.47
2008-10-10   2.72
2008-10-17   2.90
2008-10-24   2.75
2008-10-31   3.15
2008-11-07   3.02
2008-11-14   2.88
2008-11-21   2.87
2008-11-28   3.14
2008-12-05   2.54
2008-12-12   2.38
2008-12-19   2.05
2008-12-26   1.98
2009-01-02   2.10
2009-01-09   2.35
2009-01-16   2.04
2009-01-23   2.28
2009-01-30   2.25
2009-02-06   2.21
2009-02-13   2.05
2009-02-20   2.06
2009-02-27   2.15
2009-03-06   2.25
2009-03-13   2.31
2009-03-20   2.05
2009-03-27   1.86
2009-04-03   1.88
2009-04-10   2.06
2009-04-17   2.08
2009-04-24   2.18
2009-05-01   2.28
2009-05-08   2.32
2009-05-15   2.16
2009-05-22   2.12
2009-05-29   2.20
2009-06-05   2.21
2009-06-12   2.28
2009-06-19   2.27
2009-06-26   2.09
2009-07-03   2.04
2009-07-10   2.17
2009-07-17   2.24
2009-07-24   2.22
2009-07-31   2.22
2009-08-07   2.31
2009-08-14   2.25
2009-08-21   2.18
2009-08-28   2.17
2009-09-04   2.21
2009-09-11   2.19
2009-09-18   2.18
2009-09-25   2.14
2009-10-02   2.05
2009-10-09   2.07
2009-10-16   2.08
2009-10-23   2.04
2009-10-30   2.11
2009-11-06   2.05
2009-11-13   1.98
2009-11-20   1.86
2009-11-27   1.82
2009-12-04   1.85
2009-12-11   2.02
2009-12-18   1.99
2009-12-25   2.09
2010-01-01   2.07
2010-01-08   2.02
2010-01-15   2.02
2010-01-22   2.00
2010-01-29   1.99
2010-02-05   1.97
2010-02-12   2.09
2010-02-19   2.15
2010-02-26   2.16
2010-03-05   2.14
2010-03-12   2.17
2010-03-19   2.11
2010-03-26   2.18
2010-04-02   2.20
2010-04-09   2.16
2010-04-16   2.06
2010-04-23   2.01
2010-04-30   1.93
2010-05-07   1.81
2010-05-14   1.82
2010-05-21   1.80
2010-05-28   1.82
2010-06-04   1.82
2010-06-11   1.79
2010-06-18   1.79
2010-06-25   1.73
2010-07-02   1.73
2010-07-09   1.83
2010-07-16   1.83
2010-07-23   1.88
2010-07-30   1.88
2010-08-06   1.79
2010-08-13   1.70
2010-08-20   1.65
2010-08-27   1.60
2010-09-03   1.54
2010-09-10   1.56
2010-09-17   1.57
2010-09-24   1.48
2010-10-01   1.43
2010-10-08   1.36
2010-10-15   1.26
2010-10-22   1.23
2010-10-29   1.24
2010-11-05   1.20
2010-11-12   1.33
2010-11-19   1.52
2010-11-26   1.46
2010-12-03   1.53
2010-12-10   1.70
2010-12-17   1.81
2010-12-24   1.76
2010-12-31   1.79
2011-01-07   1.79
2011-01-14   1.75
2011-01-21   1.82
2011-01-28   1.89
2011-02-04   1.96
2011-02-11   2.09
2011-02-18   2.06
2011-02-25   1.87
2011-03-04   1.80
2011-03-11   1.75
2011-03-18   1.66
2011-03-25   1.72
2011-04-01   1.75
2011-04-08   1.72
2011-04-15   1.63
2011-04-22   1.54
2011-04-29   1.56
2011-05-06   1.49
2011-05-13   1.53
2011-05-20   1.58
2011-05-27   1.56
2011-06-03   1.53
2011-06-10   1.54
2011-06-17   1.55
2011-06-24   1.54
2011-07-01   1.52
2011-07-08   1.51
2011-07-15   1.35
2011-07-22   1.35
2011-07-29   1.27
2011-08-05   0.97
2011-08-12   0.73
2011-08-19   0.70
2011-08-26   0.78
2011-09-02   0.79
2011-09-09   0.70
2011-09-16   0.76
2011-09-23   0.69
2011-09-30   0.83
2011-10-07   0.70
2011-10-14   0.87
2011-10-21   0.84
2011-10-28   0.79
2011-11-04   0.56
2011-11-11   0.51
2011-11-18   0.60
2011-11-25   0.58
2011-12-02   0.57
2011-12-09   0.61
2011-12-16   0.54
2011-12-23   0.49
2011-12-30   0.53
2012-01-06   0.54
2012-01-13   0.48
2012-01-20   0.49
2012-01-27   0.51
2012-02-03   0.37
2012-02-10   0.42
2012-02-17   0.40
2012-02-24   0.41
2012-03-02   0.39
2012-03-09   0.48
2012-03-16   0.52
2012-03-23   0.58
2012-03-30   0.56
2012-04-06   0.55
2012-04-13   0.43
2012-04-20   0.37
2012-04-27   0.35
2012-05-04   0.36
2012-05-11   0.32
2012-05-18   0.22
2012-05-25   0.17
2012-06-01   0.12
2012-06-08   0.05
2012-06-15   0.11
2012-06-22   0.12
2012-06-29   0.15
2012-07-06   0.11
2012-07-13   0.01
2012-07-20  -0.01
2012-07-27  -0.03
2012-08-03  -0.03
2012-08-10   0.03
2012-08-17   0.19
2012-08-24   0.17
2012-08-31   0.05
2012-09-07   0.05
2012-09-14   0.05
2012-09-21   0.01
2012-09-28  -0.04
2012-10-05  -0.07
2012-10-12  -0.05
2012-10-19   0.03
2012-10-26   0.01
2012-11-02  -0.06
2012-11-09  -0.09
2012-11-16  -0.12
2012-11-23  -0.03
2012-11-30  -0.05
2012-12-07  -0.14
2012-12-14  -0.13
2012-12-21  -0.02
2012-12-28  -0.06
2013-01-04   0.08
2013-01-11   0.06
2013-01-18   0.04
2013-01-25   0.04
2013-02-01   0.14
2013-02-08   0.14
2013-02-15   0.18
2013-02-22   0.20
2013-03-01   0.12
2013-03-08   0.14
2013-03-15   0.20
2013-03-22   0.15
2013-03-29   0.13
2013-04-05   0.05
2013-04-12   0.03
2013-04-19   0.02
2013-04-26  -0.02
2013-05-03   0.00
2013-05-10   0.14
2013-05-17   0.26
2013-05-24   0.37
2013-05-31   0.55
2013-06-07   0.59
2013-06-14   0.80
2013-06-21   0.97
2013-06-28   1.11
2013-07-05   1.01
2013-07-12   1.09
2013-07-19   0.96
2013-07-26   0.98
2013-08-02   1.01
2013-08-09   0.93
2013-08-16   1.07
2013-08-23   1.23
2013-08-30   1.12
2013-09-06   1.31
2013-09-13   1.29
2013-09-20   1.16
2013-09-27   1.00
2013-10-04   0.99
2013-10-11   1.01
2013-10-18   1.03
2013-10-25   0.95
2013-11-01   0.95
2013-11-08   1.08
2013-11-15   1.14
2013-11-22   1.15
2013-11-29   1.14
2013-12-06   1.28
2013-12-13   1.29
2013-12-20   1.25
2013-12-27   1.30
2014-01-03   1.29
2014-01-10   1.19
2014-01-17   1.11
2014-01-24   1.10
2014-01-31   1.06
2014-02-07   1.02
2014-02-14   1.06
2014-02-21   1.07
2014-02-28   1.02
2014-03-07   1.01
2014-03-14   1.02
2014-03-21   1.05
2014-03-28   1.00
2014-04-04   1.07
2014-04-11   0.99
2014-04-18   0.94
2014-04-25   0.91
2014-05-02   0.87
2014-05-09   0.83
2014-05-16   0.79
2014-05-23   0.77
2014-05-30   0.69
2014-06-06   0.83
2014-06-13   0.85
2014-06-20   0.82
2014-06-27   0.74
2014-07-04   0.78
2014-07-11   0.71
2014-07-18   0.67
2014-07-25   0.62
2014-08-01   0.64
2014-08-08   0.63
2014-08-15   0.60
2014-08-22   0.63
2014-08-29   0.59
2014-09-05   0.68
2014-09-12   0.79
2014-09-19   0.90
2014-09-26   0.88
2014-10-03   0.87
2014-10-10   0.77
2014-10-17   0.65
2014-10-24   0.71
2014-10-31   0.76
2014-11-07   0.78
2014-11-14   0.78
2014-11-21   0.81
2014-11-28   0.76
2014-12-05   0.81
2014-12-12   0.74
2014-12-19   0.70
2014-12-26   0.76
2015-01-02   0.75
2015-01-09   0.62
2015-01-16   0.58
2015-01-23   0.54
2015-01-30   0.44
2015-02-06   0.46
2015-02-13   0.60
2015-02-20   0.70
2015-02-27   0.55
2015-03-06   0.57
2015-03-13   0.65
2015-03-20   0.54
2015-03-27   0.43
2015-04-03   0.43
2015-04-10   0.41
2015-04-17   0.40
2015-04-24   0.41
2015-05-01   0.46
2015-05-08   0.62
2015-05-15   0.70
2015-05-22   0.70
2015-05-29   0.62
2015-06-05   0.77
2015-06-12   0.83
2015-06-19   0.73
2015-06-26   0.78
2015-07-03   0.78
2015-07-10   0.72
2015-07-17   0.81
2015-07-24   0.76
2015-07-31   0.73
2015-08-07   0.73
2015-08-14   0.73
2015-08-21   0.76
2015-08-28   0.84
2015-09-04   0.88
2015-09-11   0.90
2015-09-18   0.94
2015-09-25   0.94
2015-10-02   0.90
2015-10-09   0.83
2015-10-16   0.81
2015-10-23   0.84
2015-10-30   0.85
2015-11-06   0.92
2015-11-13   0.98
2015-11-20   0.93
2015-11-27   0.87
2015-12-04   0.88
2015-12-11   0.90
2015-12-18   0.99
2015-12-25   1.00
2016-01-01   1.01
2016-01-08   0.95
2016-01-15   0.95
2016-01-22   0.96
2016-01-29   0.89
2016-02-05   0.80
2016-02-12   0.76
2016-02-19   0.82
2016-02-26   0.73
2016-03-04   0.67
2016-03-11   0.71
2016-03-18   0.69
2016-03-25   0.60
2016-04-01   0.50
2016-04-08   0.42
2016-04-15   0.48
2016-04-22   0.50
2016-04-29   0.48
2016-05-06   0.45
2016-05-13   0.42
2016-05-20   0.48
2016-05-27   0.52
2016-06-03   0.50
2016-06-10   0.39
2016-06-17   0.41
2016-06-24   0.47
2016-07-01   0.31
2016-07-08   0.20
2016-07-15   0.28
2016-07-22   0.34
2016-07-29   0.32
2016-08-05   0.34
2016-08-12   0.33
2016-08-19   0.34
2016-08-26   0.31
2016-09-02   0.32
2016-09-09   0.31
2016-09-16   0.44
2016-09-23   0.39
2016-09-30   0.28
2016-10-07   0.32
2016-10-14   0.38
2016-10-21   0.33
2016-10-28   0.35
2016-11-04   0.37
2016-11-11   0.44
2016-11-18   0.63
2016-11-25   0.65
2016-12-02   0.68
2016-12-09   0.68
2016-12-16   0.82
2016-12-23   0.84
2016-12-30   0.75
2017-01-06   0.67
