Title:               5-Year High Quality Market (HQM) Corporate Bond Par Yield
1988-09-01   9.41
1988-10-01   9.30
1988-11-01   9.53
1988-12-01   9.79
1989-01-01   9.88
1989-02-01   9.93
1989-03-01  10.21
1989-04-01  10.22
1989-05-01   9.89
1989-06-01   9.31
1989-07-01   8.98
1989-08-01   9.00
1989-09-01   9.14
1989-10-01   8.97
1989-11-01   8.82
1989-12-01   8.82
1990-01-01   9.11
1990-02-01   9.37
1990-03-01   9.47
1990-04-01   9.64
1990-05-01   9.66
1990-06-01   9.36
1990-07-01   9.36
1990-08-01   9.43
1990-09-01   9.52
1990-10-01   9.64
1990-11-01   9.53
1990-12-01   9.25
1991-01-01   9.22
1991-02-01   8.95
1991-03-01   8.94
1991-04-01   8.72
1991-05-01   8.67
1991-06-01   8.78
1991-07-01   8.83
1991-08-01   8.42
1991-09-01   8.15
1991-10-01   7.76
1991-11-01   7.62
1991-12-01   7.35
1992-01-01   7.26
1992-02-01   7.55
1992-03-01   7.77
1992-04-01   7.63
1992-05-01   7.53
1992-06-01   7.33
1992-07-01   6.81
1992-08-01   6.57
1992-09-01   6.35
1992-10-01   6.56
1992-11-01   6.97
1992-12-01   6.94
1993-01-01   6.76
1993-02-01   6.31
1993-03-01   6.04
1993-04-01   5.95
1993-05-01   5.99
1993-06-01   6.00
1993-07-01   5.83
1993-08-01   5.73
1993-09-01   5.45
1993-10-01   5.42
1993-11-01   5.72
1993-12-01   5.73
1994-01-01   5.62
1994-02-01   5.90
1994-03-01   6.45
1994-04-01   7.14
1994-05-01   7.38
1994-06-01   7.31
1994-07-01   7.48
1994-08-01   7.45
1994-09-01   7.65
1994-10-01   7.96
1994-11-01   8.28
1994-12-01   8.38
1995-01-01   8.39
1995-02-01   8.02
1995-03-01   7.65
1995-04-01   7.43
1995-05-01   6.97
1995-06-01   6.52
1995-07-01   6.62
1995-08-01   6.84
1995-09-01   6.58
1995-10-01   6.41
1995-11-01   6.25
1995-12-01   6.07
1996-01-01   5.93
1996-02-01   5.94
1996-03-01   6.53
1996-04-01   6.84
1996-05-01   6.98
1996-06-01   7.17
1996-07-01   7.11
1996-08-01   6.87
1996-09-01   7.08
1996-10-01   6.74
1996-11-01   6.45
1996-12-01   6.57
1997-01-01   6.82
1997-02-01   6.67
1997-03-01   6.98
1997-04-01   7.21
1997-05-01   7.02
1997-06-01   6.82
1997-07-01   6.56
1997-08-01   6.64
1997-09-01   6.57
1997-10-01   6.44
1997-11-01   6.39
1997-12-01   6.36
1998-01-01   6.03
1998-02-01   6.11
1998-03-01   6.20
1998-04-01   6.19
1998-05-01   6.20
1998-06-01   6.11
1998-07-01   6.08
1998-08-01   5.98
1998-09-01   5.59
1998-10-01   5.55
1998-11-01   5.78
1998-12-01   5.60
1999-01-01   5.65
1999-02-01   5.89
1999-03-01   6.10
1999-04-01   6.01
1999-05-01   6.35
1999-06-01   6.80
1999-07-01   6.72
1999-08-01   7.02
1999-09-01   6.97
1999-10-01   7.16
1999-11-01   7.00
1999-12-01   7.20
2000-01-01   7.56
2000-02-01   7.74
2000-03-01   7.67
2000-04-01   7.57
2000-05-01   8.09
2000-06-01   7.70
2000-07-01   7.60
2000-08-01   7.46
2000-09-01   7.29
2000-10-01   7.24
2000-11-01   7.28
2000-12-01   6.85
2001-01-01   6.50
2001-02-01   6.41
2001-03-01   6.15
2001-04-01   6.19
2001-05-01   6.29
2001-06-01   6.14
2001-07-01   6.07
2001-08-01   5.80
2001-09-01   5.59
2001-10-01   5.35
2001-11-01   5.33
2001-12-01   5.68
2002-01-01   5.55
2002-02-01   5.54
2002-03-01   5.86
2002-04-01   5.72
2002-05-01   5.61
2002-06-01   5.25
2002-07-01   5.03
2002-08-01   4.76
2002-09-01   4.38
2002-10-01   4.60
2002-11-01   4.52
2002-12-01   4.33
2003-01-01   4.22
2003-02-01   3.97
2003-03-01   3.82
2003-04-01   3.86
2003-05-01   3.38
2003-06-01   3.11
2003-07-01   3.63
2003-08-01   4.20
2003-09-01   3.96
2003-10-01   3.91
2003-11-01   3.97
2003-12-01   3.93
2004-01-01   3.76
2004-02-01   3.73
2004-03-01   3.45
2004-04-01   4.03
2004-05-01   4.55
2004-06-01   4.64
2004-07-01   4.40
2004-08-01   4.21
2004-09-01   4.05
2004-10-01   4.02
2004-11-01   4.14
2004-12-01   4.17
2005-01-01   4.26
2005-02-01   4.30
2005-03-01   4.69
2005-04-01   4.64
2005-05-01   4.52
2005-06-01   4.43
2005-07-01   4.62
2005-08-01   4.72
2005-09-01   4.64
2005-10-01   4.97
2005-11-01   5.12
2005-12-01   5.09
2006-01-01   5.06
2006-02-01   5.26
2006-03-01   5.38
2006-04-01   5.57
2006-05-01   5.66
2006-06-01   5.77
2006-07-01   5.75
2006-08-01   5.52
2006-09-01   5.36
2006-10-01   5.36
2006-11-01   5.23
2006-12-01   5.15
2007-01-01   5.35
2007-02-01   5.29
2007-03-01   5.13
2007-04-01   5.26
2007-05-01   5.35
2007-06-01   5.73
2007-07-01   5.71
2007-08-01   5.59
2007-09-01   5.50
2007-10-01   5.38
2007-11-01   5.23
2007-12-01   5.26
2008-01-01   4.87
2008-02-01   4.82
2008-03-01   5.02
2008-04-01   5.21
2008-05-01   5.28
2008-06-01   5.65
2008-07-01   5.94
2008-08-01   5.96
2008-09-01   6.60
2008-10-01   8.09
2008-11-01   7.61
2008-12-01   6.85
2009-01-01   5.84
2009-02-01   6.12
2009-03-01   6.73
2009-04-01   6.09
2009-05-01   5.46
2009-06-01   5.17
2009-07-01   4.61
2009-08-01   4.27
2009-09-01   3.93
2009-10-01   3.86
2009-11-01   3.67
2009-12-01   3.69
2010-01-01   3.67
2010-02-01   3.72
2010-03-01   3.69
2010-04-01   3.69
2010-05-01   3.63
2010-06-01   3.59
2010-07-01   3.23
2010-08-01   2.88
2010-09-01   2.85
2010-10-01   2.61
2010-11-01   2.76
2010-12-01   3.32
2011-01-01   3.25
2011-02-01   3.39
2011-03-01   3.25
2011-04-01   3.27
2011-05-01   3.00
2011-06-01   2.95
2011-07-01   2.95
2011-08-01   2.92
2011-09-01   2.99
2011-10-01   3.10
2011-11-01   2.93
2011-12-01   2.99
2012-01-01   2.74
2012-02-01   2.40
2012-03-01   2.43
2012-04-01   2.36
2012-05-01   2.37
2012-06-01   2.32
2012-07-01   1.81
2012-08-01   1.74
2012-09-01   1.62
2012-10-01   1.52
2012-11-01   1.50
2012-12-01   1.54
2013-01-01   1.61
2013-02-01   1.65
2013-03-01   1.62
2013-04-01   1.52
2013-05-01   1.62
2013-06-01   2.10
2013-07-01   2.31
2013-08-01   2.40
2013-09-01   2.50
2013-10-01   2.24
2013-11-01   2.21
2013-12-01   2.32
2014-01-01   2.29
2014-02-01   2.18
2014-03-01   2.26
2014-04-01   2.27
2014-05-01   2.15
2014-06-01   2.22
2014-07-01   2.23
2014-08-01   2.18
2014-09-01   2.37
2014-10-01   2.21
2014-11-01   2.33
2014-12-01   2.34
2015-01-01   2.08
2015-02-01   2.10
2015-03-01   2.14
2015-04-01   1.98
2015-05-01   2.19
2015-06-01   2.47
2015-07-01   2.50
2015-08-01   2.51
2015-09-01   2.48
2015-10-01   2.37
2015-11-01   2.52
2015-12-01   2.49
2016-01-01   2.39
2016-02-01   2.26
2016-03-01   2.21
2016-04-01   1.96
2016-05-01   2.01
2016-06-01   1.91
2016-07-01   1.78
2016-08-01   1.80
2016-09-01   1.87
2016-10-01   1.98
2016-11-01   2.34
