Title:               Margin for 5/1-Year Adjustable Rate Mortgage in the United States©
2007-11-15  2.75
2007-11-21  2.75
2007-11-29  2.76
2007-12-06  2.76
2007-12-13  2.76
2007-12-20  2.76
2007-12-27  2.75
2008-01-03  2.75
2008-01-10  2.75
2008-01-17  2.75
2008-01-24  2.76
2008-01-31  2.76
2008-02-07  2.75
2008-02-14  2.75
2008-02-21  2.75
2008-02-28  2.75
2008-03-06  2.75
2008-03-13  2.75
2008-03-20  2.75
2008-03-27  2.74
2008-04-03  2.75
2008-04-10  2.76
2008-04-17  2.75
2008-04-24  2.76
2008-05-01  2.76
2008-05-08  2.76
2008-05-15  2.75
2008-05-22  2.76
2008-05-29  2.78
2008-06-05  2.76
2008-06-12  2.76
2008-06-19  2.76
2008-06-26  2.74
2008-07-03  2.75
2008-07-10  2.73
2008-07-17  2.75
2008-07-24  2.75
2008-07-31  2.74
2008-08-07  2.73
2008-08-14  2.74
2008-08-21  2.72
2008-08-28  2.74
2008-09-04  2.75
2008-09-11  2.73
2008-09-18  2.72
2008-09-25  2.74
2008-10-02  2.75
2008-10-09  2.74
2008-10-16  2.74
2008-10-23  2.74
2008-10-30  2.75
2008-11-06  2.74
2008-11-13  2.74
2008-11-20  2.74
2008-11-26  2.75
2008-12-04  2.74
2008-12-11  2.75
2008-12-18  2.74
2008-12-24  2.75
2008-12-31  2.74
2009-01-08  2.74
2009-01-15  2.74
2009-01-22  2.74
2009-01-29  2.74
2009-02-05  2.74
2009-02-12  2.74
2009-02-19  2.71
2009-02-26  2.71
2009-03-05  2.70
2009-03-12  2.70
2009-03-19  2.70
2009-03-26  2.74
2009-04-02  2.74
2009-04-09  2.73
2009-04-16  2.74
2009-04-23  2.75
2009-04-30  2.74
2009-05-07  2.74
2009-05-14  2.74
2009-05-21  2.74
2009-05-28  2.75
2009-06-04  2.75
2009-06-11  2.75
2009-06-18  2.74
2009-06-25  2.74
2009-07-02  2.74
2009-07-09  2.74
2009-07-16  2.74
2009-07-23  2.74
2009-07-30  2.74
2009-08-06  2.74
2009-08-13  2.74
2009-08-20  2.74
2009-08-27  2.74
2009-09-03  2.74
2009-09-10  2.74
2009-09-17  2.74
2009-09-24  2.74
2009-10-01  2.74
2009-10-08  2.75
2009-10-15  2.74
2009-10-22  2.74
2009-10-29  2.73
2009-11-05  2.74
2009-11-12  2.74
2009-11-19  2.74
2009-11-25  2.74
2009-12-03  2.75
2009-12-10  2.74
2009-12-17  2.74
2009-12-24  2.74
2009-12-31  2.75
2010-01-07  2.74
2010-01-14  2.74
2010-01-21  2.74
2010-01-28  2.74
2010-02-04  2.74
2010-02-11  2.73
2010-02-18  2.74
2010-02-25  2.74
2010-03-04  2.74
2010-03-11  2.74
2010-03-18  2.74
2010-03-25  2.74
2010-04-01  2.75
2010-04-08  2.75
2010-04-15  2.74
2010-04-22  2.75
2010-04-29  2.75
2010-05-06  2.74
2010-05-13  2.74
2010-05-20  2.74
2010-05-27  2.75
2010-06-03  2.74
2010-06-10  2.75
2010-06-17  2.75
2010-06-24  2.74
2010-07-01  2.75
2010-07-08  2.74
2010-07-15  2.74
2010-07-22  2.74
2010-07-29  2.75
2010-08-05  2.74
2010-08-12  2.74
2010-08-19  2.74
2010-08-26  2.75
2010-09-02  2.75
2010-09-09  2.75
2010-09-16  2.74
2010-09-23  2.75
2010-09-30  2.75
2010-10-07  2.74
2010-10-14  2.74
2010-10-21  2.76
2010-10-28  2.75
2010-11-04  2.75
2010-11-11  2.75
2010-11-18  2.75
2010-11-24  2.75
2010-12-02  2.75
2010-12-09  2.75
2010-12-16  2.74
2010-12-23  2.75
2010-12-30  2.75
2011-01-06  2.75
2011-01-13  2.75
2011-01-20  2.75
2011-01-27  2.74
2011-02-03  2.74
2011-02-10  2.75
2011-02-17  2.75
2011-02-24  2.74
2011-03-03  2.74
2011-03-10  2.74
2011-03-17  2.74
2011-03-24  2.74
2011-03-31  2.74
2011-04-07  2.74
2011-04-14  2.74
2011-04-21  2.74
2011-04-28  2.75
2011-05-05  2.74
2011-05-12  2.74
2011-05-19  2.74
2011-05-26  2.74
2011-06-02  2.74
2011-06-09  2.74
2011-06-16  2.74
2011-06-23  2.74
2011-06-30  2.74
2011-07-07  2.74
2011-07-14  2.74
2011-07-21  2.74
2011-07-28  2.74
2011-08-04  2.70
2011-08-11  2.74
2011-08-18  2.73
2011-08-25  2.74
2011-09-01  2.74
2011-09-08  2.74
2011-09-15  2.74
2011-09-22  2.74
2011-09-29  2.74
2011-10-06  2.75
2011-10-13  2.74
2011-10-20  2.74
2011-10-27  2.74
2011-11-03  2.74
2011-11-10  2.74
2011-11-17  2.74
2011-11-23  2.75
2011-12-01  2.74
2011-12-08  2.74
2011-12-15  2.75
2011-12-22  2.74
2011-12-29  2.74
2012-01-05  2.74
2012-01-12  2.74
2012-01-19  2.74
2012-01-26  2.74
2012-02-02  2.74
2012-02-09  2.74
2012-02-16  2.74
2012-02-23  2.74
2012-03-01  2.74
2012-03-08  2.74
2012-03-15  2.74
2012-03-22  2.74
2012-03-29  2.74
2012-04-05  2.74
2012-04-12  2.74
2012-04-19  2.74
2012-04-26  2.74
2012-05-03  2.74
2012-05-10  2.74
2012-05-17  2.74
2012-05-24  2.74
2012-05-31  2.74
2012-06-07  2.74
2012-06-14  2.74
2012-06-21  2.74
2012-06-28  2.74
2012-07-05  2.74
2012-07-12  2.74
2012-07-19  2.74
2012-07-26  2.74
2012-08-02  2.75
2012-08-09  2.75
2012-08-16  2.75
2012-08-23  2.74
2012-08-30  2.74
2012-09-06  2.74
2012-09-13  2.74
2012-09-20  2.75
2012-09-27  2.74
2012-10-04  2.74
2012-10-11  2.74
2012-10-18  2.74
2012-10-25  2.75
2012-11-01  2.74
2012-11-08  2.74
2012-11-15  2.74
2012-11-21  2.74
2012-11-29  2.74
2012-12-06  2.74
2012-12-13  2.74
2012-12-20  2.74
2012-12-27  2.74
2013-01-03  2.75
2013-01-10  2.73
2013-01-17  2.74
2013-01-24  2.74
2013-01-31  2.74
2013-02-07  2.74
2013-02-14  2.75
2013-02-21  2.75
2013-02-28  2.76
2013-03-07  2.75
2013-03-14  2.74
2013-03-21  2.74
2013-03-28  2.75
2013-04-04  2.75
2013-04-11  2.75
2013-04-18  2.75
2013-04-25  2.74
2013-05-02  2.75
2013-05-09  2.76
2013-05-16  2.75
2013-05-23  2.75
2013-05-30  2.75
2013-06-06  2.75
2013-06-13  2.76
2013-06-20  2.76
2013-06-27  2.74
2013-07-03  2.75
2013-07-11  2.75
2013-07-18  2.75
2013-07-25  2.74
2013-08-01  2.74
2013-08-08  2.75
2013-08-15  2.74
2013-08-22  2.75
2013-08-29  2.75
2013-09-05  2.75
2013-09-12  2.75
2013-09-19  2.74
2013-09-26  2.75
2013-10-03  2.74
2013-10-10  2.74
2013-10-17  2.74
2013-10-24  2.74
2013-10-31  2.76
2013-11-07  2.75
2013-11-14  2.74
2013-11-21  2.75
2013-11-27  2.74
2013-12-05  2.74
2013-12-12  2.74
2013-12-19  2.75
2013-12-26  2.74
2014-01-02  2.74
2014-01-09  2.75
2014-01-16  2.74
2014-01-23  2.74
2014-01-30  2.74
2014-02-06  2.74
2014-02-13  2.74
2014-02-20  2.74
2014-02-27  2.74
2014-03-06  2.75
2014-03-13  2.74
2014-03-20  2.74
2014-03-27  2.74
2014-04-03  2.75
2014-04-10  2.74
2014-04-17  2.73
2014-04-24  2.73
2014-05-01  2.74
2014-05-08  2.74
2014-05-15  2.72
2014-05-22  2.74
2014-05-29  2.72
2014-06-05  2.73
2014-06-12  2.74
2014-06-19  2.73
2014-06-26  2.73
2014-07-03  2.73
2014-07-10  2.73
2014-07-17  2.74
2014-07-24  2.74
2014-07-31  2.74
2014-08-07  2.73
2014-08-14  2.74
2014-08-21  2.74
2014-08-28  2.74
2014-09-04  2.74
2014-09-11  2.74
2014-09-18  2.74
2014-09-25  2.74
2014-10-02  2.74
2014-10-09  2.74
2014-10-16  2.74
2014-10-23  2.75
2014-10-30  2.74
2014-11-06  2.74
2014-11-13  2.74
2014-11-20  2.74
2014-11-26  2.74
2014-12-04  2.74
2014-12-11  2.74
2014-12-18  2.74
2014-12-24  2.74
2014-12-31  2.74
2015-01-08  2.74
2015-01-15  2.74
2015-01-22  2.74
2015-01-29  2.74
2015-02-05  2.74
2015-02-12  2.74
2015-02-19  2.74
2015-02-26  2.74
2015-03-05  2.74
2015-03-12  2.74
2015-03-19  2.74
2015-03-26  2.74
2015-04-02  2.74
2015-04-09  2.73
2015-04-16  2.74
2015-04-23  2.74
2015-04-30  2.73
2015-05-07  2.73
2015-05-14  2.74
2015-05-21  2.74
2015-05-28  2.74
2015-06-04  2.74
2015-06-11  2.74
2015-06-18  2.74
2015-06-25  2.74
2015-07-02  2.73
2015-07-09  2.74
2015-07-16  2.74
2015-07-23  2.74
2015-07-30  2.74
2015-08-06  2.74
2015-08-13  2.74
2015-08-20  2.74
2015-08-27  2.74
2015-09-03  2.74
2015-09-10  2.74
2015-09-17  2.74
2015-09-24  2.74
2015-10-01  2.74
2015-10-08  2.74
2015-10-15  2.74
2015-10-22  2.74
2015-10-29  2.74
2015-11-05  2.75
2015-11-12  2.75
2015-11-19  2.75
2015-11-25  2.75
2015-12-03  2.75
2015-12-10  2.75
2015-12-17  2.75
2015-12-24  2.75
2015-12-31  2.74
2016-01-07  2.75
2016-01-14  2.75
2016-01-21  2.74
2016-01-28  2.74
2016-02-04  2.74
2016-02-11  2.74
2016-02-18  2.74
2016-02-25  2.73
2016-03-03  2.74
2016-03-10  2.74
2016-03-17  2.74
2016-03-24  2.74
2016-03-31  2.74
2016-04-07  2.73
2016-04-14  2.73
2016-04-21  2.74
2016-04-28  2.73
2016-05-05  2.73
2016-05-12  2.74
2016-05-19  2.74
2016-05-26  2.75
2016-06-02  2.74
2016-06-09  2.74
2016-06-16  2.74
2016-06-23  2.74
2016-06-30  2.74
2016-07-07  2.75
2016-07-14  2.74
2016-07-21  2.74
2016-07-28  2.74
2016-08-04  2.74
2016-08-11  2.74
2016-08-18  2.74
2016-08-25  2.74
2016-09-01  2.74
2016-09-08  2.74
2016-09-15  2.74
2016-09-22  2.74
2016-09-29  2.74
2016-10-06  2.74
2016-10-13  2.74
2016-10-20  2.74
2016-10-27  2.74
2016-11-03  2.74
2016-11-10  2.74
2016-11-17  2.74
2016-11-23  2.74
2016-12-01  2.74
2016-12-08  2.74
2016-12-15  2.74
2016-12-22  2.74
2016-12-29  2.74
2017-01-05  2.74
2017-01-12  2.74
